"year","variable","value","version"
1810,"N2O_natural_emissions",9.699759623,"3.5.0"
1811,"CH4N",225.3823927,"3.5.0"
1811,"N2O_natural_emissions",9.681346086,"3.5.0"
1812,"CH4N",225.7008012,"3.5.0"
1812,"N2O_natural_emissions",9.657923723,"3.5.0"
1813,"CH4N",225.5559773,"3.5.0"
1813,"N2O_natural_emissions",9.619859661,"3.5.0"
1814,"CH4N",223.6538533,"3.5.0"
1814,"N2O_natural_emissions",9.61986869,"3.5.0"
1815,"CH4N",224.5391908,"3.5.0"
1815,"N2O_natural_emissions",9.547891615,"3.5.0"
1816,"CH4N",224.4965767,"3.5.0"
1816,"N2O_natural_emissions",9.600083746,"3.5.0"
1817,"CH4N",225.3823316,"3.5.0"
1817,"N2O_natural_emissions",9.60469496,"3.5.0"
1818,"CH4N",224.2789774,"3.5.0"
1818,"N2O_natural_emissions",9.599646377,"3.5.0"
1819,"CH4N",223.9311341,"3.5.0"
1819,"N2O_natural_emissions",9.666599972,"3.5.0"
1820,"CH4N",223.1301503,"3.5.0"
1820,"N2O_natural_emissions",9.55644472,"3.5.0"
1821,"CH4N",223.6893028,"3.5.0"
1821,"N2O_natural_emissions",9.579764514,"3.5.0"
1822,"CH4N",224.3608126,"3.5.0"
1822,"N2O_natural_emissions",9.574458228,"3.5.0"
1823,"CH4N",224.5246017,"3.5.0"
1823,"N2O_natural_emissions",9.564242732,"3.5.0"
1824,"CH4N",224.574158,"3.5.0"
1824,"N2O_natural_emissions",9.510738647,"3.5.0"
1825,"CH4N",224.1022099,"3.5.0"
1825,"N2O_natural_emissions",9.442371357,"3.5.0"
1826,"CH4N",223.9057096,"3.5.0"
1826,"N2O_natural_emissions",9.450260843,"3.5.0"
1827,"CH4N",223.4496188,"3.5.0"
1827,"N2O_natural_emissions",9.477363026,"3.5.0"
1828,"CH4N",222.6037314,"3.5.0"
1828,"N2O_natural_emissions",9.543004944,"3.5.0"
1829,"CH4N",222.739262,"3.5.0"
1829,"N2O_natural_emissions",9.522797648,"3.5.0"
1830,"CH4N",222.3608927,"3.5.0"
1830,"N2O_natural_emissions",9.521556333,"3.5.0"
1831,"CH4N",222.581435,"3.5.0"
1831,"N2O_natural_emissions",9.486685606,"3.5.0"
1832,"CH4N",222.4759236,"3.5.0"
1832,"N2O_natural_emissions",9.326694658,"3.5.0"
1833,"CH4N",221.4786726,"3.5.0"
1833,"N2O_natural_emissions",9.33820692,"3.5.0"
1834,"CH4N",221.4344961,"3.5.0"
1834,"N2O_natural_emissions",8.917762649,"3.5.0"
1835,"CH4N",221.3913162,"3.5.0"
1835,"N2O_natural_emissions",9.017148478,"3.5.0"
1836,"CH4N",219.6708863,"3.5.0"
1836,"N2O_natural_emissions",9.054928005,"3.5.0"
1837,"CH4N",218.5291482,"3.5.0"
1837,"N2O_natural_emissions",9.256177743,"3.5.0"
1838,"CH4N",217.3068101,"3.5.0"
1838,"N2O_natural_emissions",9.602990789,"3.5.0"
1839,"CH4N",217.45681,"3.5.0"
1839,"N2O_natural_emissions",9.592568395,"3.5.0"
1840,"CH4N",218.2964846,"3.5.0"
1840,"N2O_natural_emissions",9.342004095,"3.5.0"
1841,"CH4N",218.4623987,"3.5.0"
1841,"N2O_natural_emissions",9.089353148,"3.5.0"
1842,"CH4N",219.1356623,"3.5.0"
1842,"N2O_natural_emissions",9.093914174,"3.5.0"
1843,"CH4N",221.0919457,"3.5.0"
1843,"N2O_natural_emissions",9.717587775,"3.5.0"
1844,"CH4N",222.8971751,"3.5.0"
1844,"N2O_natural_emissions",9.78950086,"3.5.0"
1845,"CH4N",222.2459557,"3.5.0"
1845,"N2O_natural_emissions",9.54981632,"3.5.0"
1846,"CH4N",221.2473209,"3.5.0"
1846,"N2O_natural_emissions",10.01378682,"3.5.0"
1847,"CH4N",218.2380444,"3.5.0"
1847,"N2O_natural_emissions",9.977428252,"3.5.0"
1848,"CH4N",215.7352226,"3.5.0"
1848,"N2O_natural_emissions",9.921397188,"3.5.0"
1849,"CH4N",215.6349888,"3.5.0"
1849,"N2O_natural_emissions",9.903278632,"3.5.0"
1850,"CH4N",214.7992015,"3.5.0"
1850,"N2O_natural_emissions",9.88973292,"3.5.0"
1851,"CH4N",215.5178395,"3.5.0"
1851,"N2O_natural_emissions",9.913118475,"3.5.0"
1852,"CH4N",217.1607358,"3.5.0"
1852,"N2O_natural_emissions",9.912059789,"3.5.0"
1853,"CH4N",218.024625,"3.5.0"
1853,"N2O_natural_emissions",10.01280274,"3.5.0"
1854,"CH4N",217.1366531,"3.5.0"
1854,"N2O_natural_emissions",10.02285129,"3.5.0"
1855,"CH4N",218.3358592,"3.5.0"
1855,"N2O_natural_emissions",10.05799734,"3.5.0"
1856,"CH4N",217.8978673,"3.5.0"
1856,"N2O_natural_emissions",10.06080936,"3.5.0"
1857,"CH4N",217.9581046,"3.5.0"
1857,"N2O_natural_emissions",10.00584835,"3.5.0"
1858,"CH4N",218.4170722,"3.5.0"
1858,"N2O_natural_emissions",9.927754416,"3.5.0"
1859,"CH4N",218.7539817,"3.5.0"
1859,"N2O_natural_emissions",10.20476043,"3.5.0"
1860,"CH4N",218.3543399,"3.5.0"
1860,"N2O_natural_emissions",10.31190385,"3.5.0"
1861,"CH4N",218.5503077,"3.5.0"
1861,"N2O_natural_emissions",10.42584389,"3.5.0"
1862,"CH4N",219.5763546,"3.5.0"
1862,"N2O_natural_emissions",10.39188221,"3.5.0"
1863,"CH4N",221.234392,"3.5.0"
1863,"N2O_natural_emissions",10.29530834,"3.5.0"
1864,"CH4N",221.9152779,"3.5.0"
1864,"N2O_natural_emissions",10.26989834,"3.5.0"
1865,"CH4N",220.5911797,"3.5.0"
1865,"N2O_natural_emissions",10.32588569,"3.5.0"
1866,"CH4N",221.224368,"3.5.0"
1866,"N2O_natural_emissions",10.36815426,"3.5.0"
1867,"CH4N",221.0651547,"3.5.0"
1867,"N2O_natural_emissions",10.35768758,"3.5.0"
1868,"CH4N",219.1390709,"3.5.0"
1868,"N2O_natural_emissions",10.42314338,"3.5.0"
1869,"CH4N",218.5556506,"3.5.0"
1869,"N2O_natural_emissions",10.38910096,"3.5.0"
1870,"CH4N",216.2102295,"3.5.0"
1870,"N2O_natural_emissions",10.34003004,"3.5.0"
1871,"CH4N",214.4450536,"3.5.0"
1871,"N2O_natural_emissions",10.45362888,"3.5.0"
1872,"CH4N",213.562064,"3.5.0"
1872,"N2O_natural_emissions",10.40567614,"3.5.0"
1873,"CH4N",211.1518386,"3.5.0"
1873,"N2O_natural_emissions",10.37496147,"3.5.0"
1874,"CH4N",211.8080079,"3.5.0"
1874,"N2O_natural_emissions",10.32489394,"3.5.0"
1875,"CH4N",212.0669172,"3.5.0"
1875,"N2O_natural_emissions",10.31515025,"3.5.0"
1876,"CH4N",210.3239262,"3.5.0"
1876,"N2O_natural_emissions",10.19973667,"3.5.0"
1877,"CH4N",209.9796001,"3.5.0"
1877,"N2O_natural_emissions",10.07529322,"3.5.0"
1878,"CH4N",209.8759958,"3.5.0"
1878,"N2O_natural_emissions",10.09791797,"3.5.0"
1879,"CH4N",209.8530065,"3.5.0"
1879,"N2O_natural_emissions",10.04842418,"3.5.0"
1880,"CH4N",210.4198309,"3.5.0"
1880,"N2O_natural_emissions",10.04436367,"3.5.0"
1881,"CH4N",209.662199,"3.5.0"
1881,"N2O_natural_emissions",9.931097917,"3.5.0"
1882,"CH4N",209.2963522,"3.5.0"
1882,"N2O_natural_emissions",9.941133256,"3.5.0"
1883,"CH4N",209.7914569,"3.5.0"
1883,"N2O_natural_emissions",9.905141162,"3.5.0"
1884,"CH4N",209.3926406,"3.5.0"
1884,"N2O_natural_emissions",9.898549838,"3.5.0"
1885,"CH4N",209.7118753,"3.5.0"
1885,"N2O_natural_emissions",9.877108697,"3.5.0"
1886,"CH4N",209.3233344,"3.5.0"
1886,"N2O_natural_emissions",9.828189993,"3.5.0"
1887,"CH4N",209.4020805,"3.5.0"
1887,"N2O_natural_emissions",9.922041068,"3.5.0"
1888,"CH4N",208.1931016,"3.5.0"
1888,"N2O_natural_emissions",9.800265799,"3.5.0"
1889,"CH4N",208.9035657,"3.5.0"
1889,"N2O_natural_emissions",9.921741829,"3.5.0"
1890,"CH4N",208.3430023,"3.5.0"
1890,"N2O_natural_emissions",9.761913109,"3.5.0"
1891,"CH4N",209.0623719,"3.5.0"
1891,"N2O_natural_emissions",9.715297282,"3.5.0"
1892,"CH4N",210.7350582,"3.5.0"
1892,"N2O_natural_emissions",9.807617353,"3.5.0"
1893,"CH4N",209.7900738,"3.5.0"
1893,"N2O_natural_emissions",9.881442799,"3.5.0"
1894,"CH4N",207.1291233,"3.5.0"
1894,"N2O_natural_emissions",9.983824109,"3.5.0"
1895,"CH4N",205.9802866,"3.5.0"
1895,"N2O_natural_emissions",10.01170584,"3.5.0"
1896,"CH4N",202.6495904,"3.5.0"
1896,"N2O_natural_emissions",9.842721582,"3.5.0"
1897,"CH4N",201.3537432,"3.5.0"
1897,"N2O_natural_emissions",9.855479717,"3.5.0"
1898,"CH4N",204.3027769,"3.5.0"
1898,"N2O_natural_emissions",9.850128604,"3.5.0"
1899,"CH4N",204.6749636,"3.5.0"
1899,"N2O_natural_emissions",10.00331713,"3.5.0"
1900,"CH4N",204.6543119,"3.5.0"
1900,"N2O_natural_emissions",10.00428215,"3.5.0"
1901,"CH4N",204.8764706,"3.5.0"
1901,"N2O_natural_emissions",10.06401591,"3.5.0"
1902,"CH4N",206.7199754,"3.5.0"
1902,"N2O_natural_emissions",10.48750511,"3.5.0"
1903,"CH4N",207.6314806,"3.5.0"
1903,"N2O_natural_emissions",10.7130767,"3.5.0"
1904,"CH4N",210.2780604,"3.5.0"
1904,"N2O_natural_emissions",10.62286397,"3.5.0"
1905,"CH4N",210.5292842,"3.5.0"
1905,"N2O_natural_emissions",10.60822497,"3.5.0"
1906,"CH4N",211.8955167,"3.5.0"
1906,"N2O_natural_emissions",10.61718799,"3.5.0"
1907,"CH4N",212.8014578,"3.5.0"
1907,"N2O_natural_emissions",10.71778982,"3.5.0"
1908,"CH4N",209.7343426,"3.5.0"
1908,"N2O_natural_emissions",10.90589241,"3.5.0"
1909,"CH4N",211.4010688,"3.5.0"
1909,"N2O_natural_emissions",10.92774612,"3.5.0"
1910,"CH4N",211.1816204,"3.5.0"
1910,"N2O_natural_emissions",11.04997018,"3.5.0"
1911,"CH4N",210.2489396,"3.5.0"
1911,"N2O_natural_emissions",11.25898111,"3.5.0"
1912,"CH4N",209.2511528,"3.5.0"
1912,"N2O_natural_emissions",10.73511559,"3.5.0"
1913,"CH4N",204.4977329,"3.5.0"
1913,"N2O_natural_emissions",10.94347136,"3.5.0"
1914,"CH4N",202.2906166,"3.5.0"
1914,"N2O_natural_emissions",10.98872029,"3.5.0"
1915,"CH4N",203.934807,"3.5.0"
1915,"N2O_natural_emissions",10.86936915,"3.5.0"
1916,"CH4N",215.3592029,"3.5.0"
1916,"N2O_natural_emissions",10.54204964,"3.5.0"
1917,"CH4N",210.5091208,"3.5.0"
1917,"N2O_natural_emissions",10.71214436,"3.5.0"
1918,"CH4N",214.2916387,"3.5.0"
1918,"N2O_natural_emissions",10.16035681,"3.5.0"
1919,"CH4N",216.7640921,"3.5.0"
1919,"N2O_natural_emissions",9.457420208,"3.5.0"
1920,"CH4N",217.5584389,"3.5.0"
1920,"N2O_natural_emissions",9.595332317,"3.5.0"
1921,"CH4N",217.9665233,"3.5.0"
1921,"N2O_natural_emissions",9.736157623,"3.5.0"
1922,"CH4N",218.5832103,"3.5.0"
1922,"N2O_natural_emissions",9.825845986,"3.5.0"
1923,"CH4N",215.6064619,"3.5.0"
1923,"N2O_natural_emissions",10.61124548,"3.5.0"
1924,"CH4N",212.3236675,"3.5.0"
1924,"N2O_natural_emissions",9.842387636,"3.5.0"
1925,"CH4N",207.9320587,"3.5.0"
1925,"N2O_natural_emissions",9.39526766,"3.5.0"
1926,"CH4N",204.3955966,"3.5.0"
1926,"N2O_natural_emissions",9.34861434,"3.5.0"
1927,"CH4N",205.5401921,"3.5.0"
1927,"N2O_natural_emissions",9.37443182,"3.5.0"
1928,"CH4N",212.502807,"3.5.0"
1928,"N2O_natural_emissions",9.579215191,"3.5.0"
1929,"CH4N",215.5019196,"3.5.0"
1929,"N2O_natural_emissions",9.403762266,"3.5.0"
1930,"CH4N",214.2940614,"3.5.0"
1930,"N2O_natural_emissions",9.34361973,"3.5.0"
1931,"CH4N",212.7744162,"3.5.0"
1931,"N2O_natural_emissions",10.00563285,"3.5.0"
1932,"CH4N",210.6406447,"3.5.0"
1932,"N2O_natural_emissions",9.583622606,"3.5.0"
1933,"CH4N",210.9509705,"3.5.0"
1933,"N2O_natural_emissions",9.826489395,"3.5.0"
1934,"CH4N",211.9574869,"3.5.0"
1934,"N2O_natural_emissions",9.571486811,"3.5.0"
1935,"CH4N",212.6053542,"3.5.0"
1935,"N2O_natural_emissions",9.683981142,"3.5.0"
1936,"CH4N",210.5310965,"3.5.0"
1936,"N2O_natural_emissions",9.874315991,"3.5.0"
1937,"CH4N",210.5695775,"3.5.0"
1937,"N2O_natural_emissions",10.08382129,"3.5.0"
1938,"CH4N",210.2895222,"3.5.0"
1938,"N2O_natural_emissions",10.25581799,"3.5.0"
1939,"CH4N",214.8818132,"3.5.0"
1939,"N2O_natural_emissions",10.04213088,"3.5.0"
1940,"CH4N",208.1056602,"3.5.0"
1940,"N2O_natural_emissions",10.20962649,"3.5.0"
1941,"CH4N",206.8244252,"3.5.0"
1941,"N2O_natural_emissions",10.23348339,"3.5.0"
1942,"CH4N",209.930372,"3.5.0"
1942,"N2O_natural_emissions",10.27931503,"3.5.0"
1943,"CH4N",208.305157,"3.5.0"
1943,"N2O_natural_emissions",11.91287329,"3.5.0"
1944,"CH4N",204.6462308,"3.5.0"
1944,"N2O_natural_emissions",9.726563762,"3.5.0"
1945,"CH4N",201.6470063,"3.5.0"
1945,"N2O_natural_emissions",9.580100157,"3.5.0"
1946,"CH4N",204.4714563,"3.5.0"
1946,"N2O_natural_emissions",9.263863477,"3.5.0"
1947,"CH4N",208.8943577,"3.5.0"
1947,"N2O_natural_emissions",8.528277711,"3.5.0"
1948,"CH4N",207.8073152,"3.5.0"
1948,"N2O_natural_emissions",8.183345713,"3.5.0"
1949,"CH4N",201.5696485,"3.5.0"
1949,"N2O_natural_emissions",8.046246157,"3.5.0"
1950,"CH4N",198.1312179,"3.5.0"
1950,"N2O_natural_emissions",8.450215539,"3.5.0"
1951,"CH4N",201.9604181,"3.5.0"
1951,"N2O_natural_emissions",8.315746876,"3.5.0"
1952,"CH4N",198.8736961,"3.5.0"
1952,"N2O_natural_emissions",8.488836651,"3.5.0"
1953,"CH4N",204.8346102,"3.5.0"
1953,"N2O_natural_emissions",9.141300183,"3.5.0"
1954,"CH4N",207.93586,"3.5.0"
1954,"N2O_natural_emissions",8.650404225,"3.5.0"
1955,"CH4N",210.5485034,"3.5.0"
1955,"N2O_natural_emissions",9.001431,"3.5.0"
1956,"CH4N",213.4851115,"3.5.0"
1956,"N2O_natural_emissions",9.186699973,"3.5.0"
1957,"CH4N",212.0220458,"3.5.0"
1957,"N2O_natural_emissions",9.058349425,"3.5.0"
1958,"CH4N",206.489748,"3.5.0"
1958,"N2O_natural_emissions",8.697411902,"3.5.0"
1959,"CH4N",200.6411206,"3.5.0"
1959,"N2O_natural_emissions",8.425195982,"3.5.0"
1960,"CH4N",190.7216636,"3.5.0"
1960,"N2O_natural_emissions",8.748656416,"3.5.0"
1961,"CH4N",178.6860559,"3.5.0"
1961,"N2O_natural_emissions",8.648935196,"3.5.0"
1962,"CH4N",202.5661393,"3.5.0"
1962,"N2O_natural_emissions",8.642908791,"3.5.0"
1963,"CH4N",208.2609835,"3.5.0"
1963,"N2O_natural_emissions",8.718348737,"3.5.0"
1964,"CH4N",213.4704868,"3.5.0"
1964,"N2O_natural_emissions",8.475746789,"3.5.0"
1965,"CH4N",203.2008179,"3.5.0"
1965,"N2O_natural_emissions",8.329580999,"3.5.0"
1966,"CH4N",197.0809138,"3.5.0"
1966,"N2O_natural_emissions",8.377840675,"3.5.0"
1967,"CH4N",196.4409202,"3.5.0"
1967,"N2O_natural_emissions",8.218085643,"3.5.0"
1968,"CH4N",214.6105336,"3.5.0"
1968,"N2O_natural_emissions",8.106742887,"3.5.0"
1969,"CH4N",216.160677,"3.5.0"
1969,"N2O_natural_emissions",8.02249421,"3.5.0"
1970,"CH4N",227.6638191,"3.5.0"
1970,"N2O_natural_emissions",8.080696435,"3.5.0"
1971,"CH4N",223.4659406,"3.5.0"
1971,"N2O_natural_emissions",8.181003195,"3.5.0"
1972,"CH4N",213.217416,"3.5.0"
1972,"N2O_natural_emissions",7.973187842,"3.5.0"
1973,"CH4N",208.5217287,"3.5.0"
1973,"N2O_natural_emissions",7.92252251,"3.5.0"
1974,"CH4N",209.1800427,"3.5.0"
1974,"N2O_natural_emissions",8.013556909,"3.5.0"
1975,"CH4N",217.7065386,"3.5.0"
1975,"N2O_natural_emissions",7.930655915,"3.5.0"
1976,"CH4N",219.9694582,"3.5.0"
1976,"N2O_natural_emissions",7.884746946,"3.5.0"
1977,"CH4N",224.2398849,"3.5.0"
1977,"N2O_natural_emissions",7.837925038,"3.5.0"
1978,"CH4N",229.0904481,"3.5.0"
1978,"N2O_natural_emissions",7.832489691,"3.5.0"
1979,"CH4N",229.6634946,"3.5.0"
1979,"N2O_natural_emissions",7.776280795,"3.5.0"
1980,"CH4N",230.6285275,"3.5.0"
1980,"N2O_natural_emissions",7.846633672,"3.5.0"
1981,"CH4N",234.8241142,"3.5.0"
1981,"N2O_natural_emissions",8.056097784,"3.5.0"
1982,"CH4N",217.1245345,"3.5.0"
1982,"N2O_natural_emissions",7.975806247,"3.5.0"
1983,"CH4N",228.3900761,"3.5.0"
1983,"N2O_natural_emissions",8.120973032,"3.5.0"
1984,"CH4N",220.4528461,"3.5.0"
1984,"N2O_natural_emissions",8.364356253,"3.5.0"
1985,"CH4N",227.2736444,"3.5.0"
1985,"N2O_natural_emissions",8.548927145,"3.5.0"
1986,"CH4N",225.6736128,"3.5.0"
1986,"N2O_natural_emissions",8.622661309,"3.5.0"
1987,"CH4N",229.7140445,"3.5.0"
1987,"N2O_natural_emissions",8.597410922,"3.5.0"
1988,"CH4N",220.5883477,"3.5.0"
1988,"N2O_natural_emissions",8.981749095,"3.5.0"
1989,"CH4N",226.2827967,"3.5.0"
1989,"N2O_natural_emissions",10.74209957,"3.5.0"
1990,"CH4N",224.7234798,"3.5.0"
1990,"N2O_natural_emissions",9.071981869,"3.5.0"
1991,"CH4N",198.0207956,"3.5.0"
1991,"N2O_natural_emissions",7.587254831,"3.5.0"
1992,"CH4N",236.6922036,"3.5.0"
1992,"N2O_natural_emissions",7.316457685,"3.5.0"
1993,"CH4N",218.6554064,"3.5.0"
1993,"N2O_natural_emissions",6.816737039,"3.5.0"
1994,"CH4N",205.4088012,"3.5.0"
1994,"N2O_natural_emissions",8.307856392,"3.5.0"
1995,"CH4N",227.1135855,"3.5.0"
1995,"N2O_natural_emissions",7.130684155,"3.5.0"
1996,"CH4N",215.7564068,"3.5.0"
1996,"N2O_natural_emissions",9.74074204,"3.5.0"
1997,"CH4N",171.1869814,"3.5.0"
1997,"N2O_natural_emissions",8.938696428,"3.5.0"
1998,"CH4N",215.7930607,"3.5.0"
1998,"N2O_natural_emissions",8.493661556,"3.5.0"
1999,"CH4N",231.2914016,"3.5.0"
1999,"N2O_natural_emissions",9.0613134,"3.5.0"
2000,"CH4N",216.3028213,"3.5.0"
2000,"N2O_natural_emissions",10.45156991,"3.5.0"
2001,"CH4N",209.757967,"3.5.0"
2001,"N2O_natural_emissions",8.899440943,"3.5.0"
2002,"CH4N",201.1223635,"3.5.0"
2002,"N2O_natural_emissions",8.151226907,"3.5.0"
2003,"CH4N",207.0545634,"3.5.0"
2003,"N2O_natural_emissions",8.206594409,"3.5.0"
2004,"CH4N",192.5213918,"3.5.0"
2004,"N2O_natural_emissions",8.059138599,"3.5.0"
2005,"CH4N",184.0987073,"3.5.0"
2005,"N2O_natural_emissions",8.680820632,"3.5.0"
2006,"CH4N",175.0017164,"3.5.0"
2006,"N2O_natural_emissions",8.672587571,"3.5.0"
2007,"CH4N",202.5966278,"3.5.0"
2007,"N2O_natural_emissions",8.55104057,"3.5.0"
2008,"CH4N",212.4425294,"3.5.0"
2008,"N2O_natural_emissions",9.572965183,"3.5.0"
2009,"CH4N",186.8732473,"3.5.0"
2009,"N2O_natural_emissions",8.435188179,"3.5.0"
2010,"CH4N",185.6238348,"3.5.0"
2010,"N2O_natural_emissions",9.263208515,"3.5.0"
2011,"CH4N",192.8306362,"3.5.0"
2011,"N2O_natural_emissions",10.08559976,"3.5.0"
2012,"CH4N",170.0593178,"3.5.0"
2012,"N2O_natural_emissions",9.205420544,"3.5.0"
2013,"CH4N",186.7891443,"3.5.0"
2013,"N2O_natural_emissions",9.459239095,"3.5.0"
